Supplier Name,Zip Code,Department,Amount
ALTEC INDUSTRIES INC,35246,General Services,44151.39
ALTEC INDUSTRIES INC,35246,Not Defined,997.12
ALVIN MCINTYRE EHRLICH,20817,County Attorney,106645.50
ALZHEIMERS ASSOCIATION,22030,Health and Human Services,80305.12
AMATO INDUSTRIES/AMCHLOR,20910,Recreation,111619.54
AMERICAN AIRLINES,7188,Sheriff,43601.40
AMERICAN BEVERAGE CORPORATION,15264,Liquor Control,90298.56
AMERICAN BEVERAGE MARKETERS,47151,Liquor Control,79154.88
AMERICAN FIDELITY TRADING,22091,Liquor Control,30980.45
AMERICAN FILM INSTITUTE,20910,County Council,1400.00
AMERICAN FILM INSTITUTE,20910,Economic Development,616229.00
AMERICAN FILM INSTITUTE,20910,General Services,260000.00
AMERICAN MINORITY GENERAL CONTRACTORS LLC,20879,Housing and Community Affairs,58386.00
AMERICAN PAVING FABRICS INC,21076,Not Defined,20046.71
AMERICAN PAVING FABRICS INC,21076,Transportation,28833.19
AMERICAN PUBLIC,20006,Transportation,42284.30
AMERICAN TRANSIT WORKS INC,32708,General Services,254736.37
AMERICAN WINDOWS,20895,Housing and Community Affairs,126035.00
AMERICAS CHARITIES,20152,Not Defined,193982.14
AMERIGAS INC,15250,Fire and Rescue Service,5733.26
AMERIGAS INC,15250,Non-Departmental Accounts,25496.24
AMERIGAS INC,15250,Not Defined,2928.21
AMERIGAS INC,15250,Recreation,30704.11
AMERIGAS INC,15250,Transportation,1665.41
AMERIGAS INC,21704,Health and Human Services,4268.00
AMERIGAS INC,21704,Not Defined,591.96
AMERIGAS INC,21704,Recreation,988.60
AMERIGAS INC,21704,Transportation,675.77
ANCHOR TOWING,20882,Police,46506.00
ANDERSON TREE SERVICE INC,20837,Transportation,27902.50
ANHEUSER BUSCH INC,63118,Liquor Control,11702838.46
ANHEUSER BUSCH INC,63118,Not Defined,322549.00
ANTIETAM FIRE APPARATUS,21734,Fire and Rescue Service,34179.17
ANTIETAM FIRE APPARATUS,21740,Fire and Rescue Service,12073.27
AON CONSULTING INC,60694,Finance,92700.00
AON CONSULTING INC,60694,Human Resources,372292.00
AON RISK SERVICES INC OF MARYLAND,19170,Finance,62567.00
AON RISK SERVICES INC OF MARYLAND,19170,Technology Services,7423.00
AON RISK SERVICES INC OF MARYLAND,21202,Finance,40542.00
AON RISK SERVICES INC OF MARYLAND,21202,Transportation,7802.25
APEX COMPANIES LLC,20855,Environmental Protection,46957.00
APEX COMPANIES LLC,20855,Fire and Rescue Service,2525.00
APEX COMPANIES LLC,20855,General Services,353708.13
APEX COMPANIES LLC,21203,Fire and Rescue Service,992.57
APEX COMPANIES LLC,21203,General Services,1838.80
"APEX COMPANIES, LLC",20855,Environmental Protection,680.00
"APEX COMPANIES, LLC",20855,General Services,67210.19
"APEX COMPANIES, LLC",21203,Environmental Protection,37023.80
"APEX COMPANIES, LLC",21203,Fire and Rescue Service,49711.88
"APEX COMPANIES, LLC",21203,General Services,506091.16
"APEX COMPANIES, LLC",21203,Transportation,59375.00
APPLE FORD INC,21045,General Services,637263.00
APPLIED INDUSTRIAL,20877,Fire and Rescue Service,1216.43
APPLIED INDUSTRIAL,20877,General Services,81.00
KRONOS INC,2284,Police,88400.30
APPLIED INDUSTRIAL,60673,Fire and Rescue Service,2155.80
APPLIED INDUSTRIAL,60673,General Services,10978.02
APPLIED INDUSTRIAL,60673,Not Defined,25257.07
APPLIED RESEARCH ASSOCIATES INC,5060,Police,72516.00
AQUATIC TRAINING AND CONSULTING SERVICES LLC,21701,Recreation,27673.50
ARAM MOKHTARI,20854,Correction and Rehabilitation,272635.50
ARBOR E&T LLC,19063,Health and Human Services,1653292.96
ARBOR E&T LLC,21286,Health and Human Services,183333.33
ARBOR EDUCATION,19063,Health and Human Services,315346.29
ARBUTUS REFRIGERATION INC,21227,Correction and Rehabilitation,155911.00
ARC  OF MONTGOMERY COUNTY,20852,Community Engagement Cluster,1260.00
ARC  OF MONTGOMERY COUNTY,20852,Health and Human Services,113969.94
ARC OF MONTGOMERY COUNTY,20850,Correction and Rehabilitation,20569.60
ARC OF MONTGOMERY COUNTY,20850,General Services,3310.74
ARC OF MONTGOMERY COUNTY,20850,Health and Human Services,321.50
ARC OF MONTGOMERY COUNTY,20850,Not Defined,15588.64
ARC OF MONTGOMERY COUNTY,20852,Correction and Rehabilitation,5904.56
ARC OF MONTGOMERY COUNTY,20852,Health and Human Services,1099290.12
ARC OF MONTGOMERY COUNTY,20852,Not Defined,57883.79
ARCADIS U S INC,60693,General Services,348788.99
ARDENT COMPANY LLC,22101,Not Defined,-12239.55
ARDENT COMPANY LLC,22101,Transportation,1632742.56
ARE-20/22/1300 FIRSTFIELD,21279,Police,4890.90
ARE-20/22/1300 FIRSTFIELD,91101,Non-Departmental Accounts,1080941.68
ARE-25-35-45 W WATKINS,21264,Non-Departmental Accounts,260438.84
AREL GROUP WINE & SPIRITS,30305,Liquor Control,25009.00
AREL GROUP WINE & SPIRITS,30308,Liquor Control,96539.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Emergency Management and Homeland Security,39552.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Finance,2587251.86
ARRAY INFORMATION TECHNOLOGY INC,20770,General Services,88145.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Health and Human Services,439397.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Housing and Community Affairs,52360.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Liquor Control,40600.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Non-Departmental Accounts,86912.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Police,3067.20
ARRAY INFORMATION TECHNOLOGY INC,20770,Public Information,4495.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Technology Services,1501349.17
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Community Engagement Cluster,55.00
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Economic Development,2500.00
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Non-Departmental Accounts,3375176.75
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Recreation,48356.59
ASAHI BEER USA INC,90503,Liquor Control,55344.20
ASAHI BEER USA INC,90503,Not Defined,350.00
ASHFORD AT WOODLAKE APARTMENTS,20904,Housing and Community Affairs,42936.42
ASHMORE AT GERMANTOWN,22201,Housing and Community Affairs,38997.00
ASHTON MANOR ENVIRONMENTAL LLC,20861,Transportation,117537.00
ASIAN AMERICAN LEAD,20009,Community Engagement Cluster,249.87
ASIAN AMERICAN LEAD,20009,Health and Human Services,113683.07
ASIAN AMERICAN LEAD,20009,Housing and Community Affairs,243.30
ASIAN AMERICAN LEAD,20009,Non-Departmental Accounts,32402.12
ASM PAVING LLC,20833,Transportation,143930.00
ASPLUNDH TREE EXPERT COMPANY INC,19182,Not Defined,2341.86
ASPLUNDH TREE EXPERT COMPANY INC,19182,Transportation,5939564.05
ASPLUNDH TREE EXPERT COMPANY INC,60677,Transportation,1076791.68
AT & T CORP,30348,Non-Departmental Accounts,879.23
AT & T CORP,60197,Non-Departmental Accounts,25543.35
AT&T,30353,Economic Development,1695.21
AT&T,30353,Police,161.87
AT&T,60197,Board of Elections,2335.53
AT&T,60197,Circuit Court,33143.49
AT&T,60197,Community Engagement Cluster,8359.79
AT&T,60197,Correction and Rehabilitation,1766.27
AT&T,60197,County Council,13927.11
AT&T,60197,Economic Development,18852.43
AT&T,60197,Environmental Protection,2069.60
AT&T,60197,Fire and Rescue Service,65.02
AT&T,60197,General Services,30286.42
AT&T,60197,Health and Human Services,68149.09
AT&T,60197,Housing and Community Affairs,22805.02
AT&T,60197,Human Resources,9433.98
AT&T,60197,Human Rights,3732.94
AT&T,60197,Intergovernmental Relations,4304.01
AT&T,60197,Permitting Services,93991.99
AT&T,60197,Recreation,34024.01
AT&T,60197,Technology Services,11960.04
AT&T,60197,Transportation,18936.69
AT&T CORP,30348,Fire and Rescue Service,9354.44
AT&T CORP,30348,Non-Departmental Accounts,8269.03
AT&T CORP,30348,Police,260.00
AT&T CORP,30348,Technology Services,1592.65
AT&T CORP,60197,Correction and Rehabilitation,112.33
AT&T CORP,60197,Health and Human Services,107.54
AT&T CORP,60197,Non-Departmental Accounts,243588.69
AT&T CORP,60197,Transportation,158594.35
AT&T CREDIT & COLLECTIONS,60197,General Services,32846.35
ATHENA CONSULTING,20874,General Services,516.48
ATHENA CONSULTING,20874,Health and Human Services,4025615.32
ATHENA CONSULTING,20874,Housing and Community Affairs,65107.50
ATLANTECH ONLINE INC,20910,Non-Departmental Accounts,100950.58
ATLANTIC EMERGENCY SOLUTIONS INC,20109,Fire and Rescue Service,272768.07
ATLANTIC WATERPROOFING,21075,Transportation,357213.00
AUTO OPTIONS,20852,Transportation,141350.00
AUTODENT CARE INC,20852,Transportation,217429.54
AUTOMOTIVE SUPPORT SERVICES INC,20905,General Services,228841.00
AUTOMOTIVE SUPPORT SERVICES INC,20905,Police,49115.00
AVALON II MARYLAND VALUE III LP,20878,Health and Human Services,12439.00
AVALON II MARYLAND VALUE III LP,20878,Housing and Community Affairs,18315.50
AVAYA INC,10087,Fire and Rescue Service,625.86
AVAYA INC,39154,Fire and Rescue Service,325.36
AVAYA INC,39154,Liquor Control,40186.63
AVAYA INC,39154,Non-Departmental Accounts,82257.56
AVAYA INC,39154,Transportation,3923.91
AVAYA INC,60197,Fire and Rescue Service,3958.74
AVAYA INC,60197,Health and Human Services,3254.38
AVAYA INC,73134,Fire and Rescue Service,457.44
AVAYA INC,73134,Non-Departmental Accounts,785679.57
AVAYA INC,73134,Transportation,247.57
AVOLVE SOFTWARE CORP,85254,Permitting Services,144000.00
AZAR CONSTRUCTION CO,20915,Health and Human Services,300.00
AZAR CONSTRUCTION CO,20915,Housing and Community Affairs,32125.00
B F SAUL REAL ESTATE INVESTMENT TRUST,20814,General Services,180000.00
B-ENVIRONMENTAL INC,21703,General Services,57596.45
B-ENVIRONMENTAL INC,21703,Not Defined,3279.50
BACARDI USA INC,33134,Liquor Control,6034191.13
BACCHUS IMPORTERS LTD,21224,Liquor Control,2265172.23
BACON COMPANY LLC,20860,Transportation,73358.75
BAKER & TAYLOR INC,30384,Public Libraries,1902222.45
BAKER & TAYLOR INC,30384,Restricted Donations,4144.07
BAKER AND ASSOCIATES,15251,General Services,5685673.69
BALDWIN LINE CONSTRUCTION OF MARYLAND INC,21075,General Services,104690.69
BALDWIN LINE CONSTRUCTION OF MARYLAND INC,21075,Technology Services,168663.00
BALDWIN LINE CONSTRUCTION OF MARYLAND INC,21075,Transportation,3928966.41
BALLARD SPAHR LLP,20005,Economic Development,12500.00
BALLARD SPAHR LLP,20006,Economic Development,62500.00
BALTIMORE GAS & ELECTRIC,19101,Fire and Rescue Service,23667.83
BALTIMORE GAS & ELECTRIC,19101,Health and Human Services,1578.25
BALTIMORE GAS & ELECTRIC,19101,Housing and Community Affairs,577.59
BALTIMORE GAS & ELECTRIC,19101,Liquor Control,9012.07
BALTIMORE GAS & ELECTRIC,19101,Non-Departmental Accounts,457304.86
BALTIMORE GAS & ELECTRIC,19101,Recreation,113182.52
BALTIMORE GAS & ELECTRIC,19101,Transportation,46734.37
BALTIMORE GAS & ELECTRIC,21203,Housing and Community Affairs,2006.07
BALTIMORE GAS & ELECTRIC,21298,Health and Human Services,11010.18
BANFI PRODUCTS CORP,11545,Liquor Control,1240057.45
BANK STREET REALTY PARTNERS LLC,20877,Non-Departmental Accounts,59287.16
BANNEKER VENTURES LLC,20850,General Services,44126.95
BANNEKER VENTURES LLC,20850,Not Defined,-84439.47
BANNEKER VENTURES LLC,20850,Transportation,1372573.87
BANNER GLASS INC,20907,Correction and Rehabilitation,1064.00
BANNER GLASS INC,20907,Fire and Rescue Service,2976.17
BANNER GLASS INC,20907,Not Defined,49927.45
BANNER GLASS INC,20907,Transportation,6520.50
BAR-T HOLDING INC,20879,Health and Human Services,75085.00
BARCLAY APARTMENTS,20815,Health and Human Services,10215.00
BARCLAY APARTMENTS,20815,Housing and Community Affairs,17555.00
BARCLAYS CAPITAL INC,10286,Debt Service,165593.20
BARNES USED CARS,20876,Transportation,26999.15
BARON FRANCOIS LTD,10001,Liquor Control,452881.22
BARUCH & PAGAN ASSOCIATES,20879,Housing and Community Affairs,224931.60
BARWOOD INC,20895,Health and Human Services,30940.79
BARWOOD INC,20895,Sheriff,123.37
BARWOOD INC,20895,Transportation,2228603.49
BATES TRUCKING CO INC,20710,Fire and Rescue Service,11768.71
BATES TRUCKING CO INC,20710,Not Defined,336607.93
BATTERY PARK CITIZEN ASSN,20814,Not Defined,89794.36
BDO USA LLP,15219,Non-Departmental Accounts,35000.00
BDO USA LLP,20814,Environmental Protection,2804.00
BDO USA LLP,20814,Non-Departmental Accounts,255186.00
BEGAL ENTERPRISES INC,20852,Fire and Rescue Service,29955.31
BELLEMEAD DEVELOPMNT CORP,7059,Transportation,31255.76
BENONS LLC,20720,Transportation,36000.00
BEST BEST & KRIEGER LLP,92501,Technology Services,300771.99
BEST BUDDIES INTNL INC,33131,Health and Human Services,25670.29
BETAH ASSOCIATES INC,20910,Health and Human Services,1213495.00
BETHESDA CARES INC,20814,Health and Human Services,100445.18
BETHESDA CARES INC,20814,Non-Departmental Accounts,40409.33
BETHESDA FIRE DEPARTMENT,20824,Fire and Rescue Service,68800.00
BETHESDA GREEN INC,20814,Community Engagement Cluster,1000.00
BETHESDA GREEN INC,20814,Economic Development,20000.00
BETHESDA GREEN INC,20814,Non-Departmental Accounts,30810.00
BETHESDA HEALTH AND REHABILITATION CENTER,20814,Health and Human Services,28747.83
BETHESDA HOSPITALITY LLC,20814,Health and Human Services,74337.56
BETHESDA HOSPITALITY LLC,20814,Housing and Community Affairs,3916.26
BETHESDA NORTH MARRIOTT,20852,Non-Departmental Accounts,291524.36
BETHESDA TOWING LLC DBA MONTROSE TOWING,20850,Police,38924.00
BETHESDA URBAN PARTNERSHP,20814,Community Engagement Cluster,3385803.04
BETHESDA URBAN PARTNERSHP,20814,Transportation,772652.19
BETHESDA-CHEVY CHASE MEALS ON WHEELS INC,20815,Health and Human Services,26477.10
BETHESDA-CHEVY CHASE RESCUE SQUAD INC,20814,Fire and Rescue Service,110079.00
BEVERLY F ROGERS,20817,Health and Human Services,39713.00
BEVERLY ORNBERG WALLING,20877,Health and Human Services,41860.00
"BFD, LLC",20872,Transportation,114140.00
BHANOT ENGINEERS INC,20876,Transportation,75297.77
BI INC,80301,Correction and Rehabilitation,69370.44
BIG BROTHERS BIG SISTERS,20706,Non-Departmental Accounts,73214.90
BIG TOW,20906,Police,46971.00
BILINGUAL COUNSELING,20902,Health and Human Services,33845.00
BIOHABITATS INC,21031,Environmental Protection,59922.41
BIOHABITATS INC,21211,Environmental Protection,25304.72
BIOHABITATS/CENTURY ENGINEERING JV,21031,Environmental Protection,633357.10
BIOHEALTH INNOVATION INC,20850,Economic Development,500535.93
BION OSTRANDER,66615,Non-Departmental Accounts,63044.06
BIOTECHNOLOGY INDUSTRY,20024,Economic Development,27200.00
BLACKROCK INSTITUTIONAL,28290,Non-Departmental Accounts,133869.64
BLEND WINE & SPIRITS IMPORTERS LLC,33029,Liquor Control,41997.35
BOARD OF EDUCATION OF MONTGOMERY COUNTY MARYLAND,20850,Health and Human Services,97196.81
BOARD OF EDUCATION OF MONTGOMERY COUNTY MARYLAND,20850,Recreation,2853.50
BOARD OF EDUCATION OF MONTGOMERY COUNTY MARYLAND,20874,Recreation,47903.35
BOB BARKER COMPANY INC,28289,Correction and Rehabilitation,29627.18
BOB BELL CHEVROLET OF,21014,General Services,56317.50
BOLAND TRANE SERVICES DBA BOLAND,20878,Fire and Rescue Service,25867.47
BOLAND TRANE SERVICES DBA BOLAND,20878,General Services,24623.48
BOLAND TRANE SERVICES DBA BOLAND,20878,Not Defined,77876.80
BOOK WHOLESALERS INC,60693,Public Libraries,245038.00
BOOK WHOLESALERS INC,60693,Restricted Donations,68604.49
BOORDY VINEYARDS,21082,Liquor Control,34835.80
BOSTON BEER CORPORATION,2210,Liquor Control,2119492.08
BOSTON BEER CORPORATION,2210,Not Defined,25480.00
BOUND TREE MEDICAL LLC,43016,Fire and Rescue Service,10882.89
