Supplier Name,Zip Code,Department,Amount
ANVS,84054,Fire and Rescue Service,36443.00
ANVS,84054,Police,1139945.00
AON CONSULTING INC,28290,Human Resources,350567.65
APEX COMPANIES LLC,20855,General Services,440802.84
APEX COMPANIES LLC,21203,Environmental Protection,4711.00
APEX COMPANIES LLC,21203,General Services,18952.00
APPLIED BIOSYSTEMS GROUP,94404,Police,40945.42
ARAM MOKHTARI,20854,Correction and Rehabilitation,226668.00
ARBOR EDUCATION,19063,Health and Human Services,2190747.24
ARC  OF MONTGOMERY COUNTY,20852,Health and Human Services,944207.87
ARC OF MONTGOMERY COUNTY,20850,Correction and Rehabilitation,25885.20
ARC OF MONTGOMERY COUNTY,20850,General Services,43100.70
ARC OF MONTGOMERY COUNTY,20850,Health and Human Services,1026.00
ARC OF MONTGOMERY COUNTY,20852,Health and Human Services,1097782.38
ARC OF MONTGOMERY COUNTY,20901,Health and Human Services,11942.00
ARDENT COMPANY LLC,22101,Not Defined,-28536.85
ARDENT COMPANY LLC,22101,Transportation,570737.00
ARDWEN FUND 1 LLC,92075,Not Defined,30159.95
ARE-20/22/1300 FIRSTFIELD,91101,Non-Departmental Accounts,936324.42
ARE-25-35-45 W WATKINS,91101,Non-Departmental Accounts,393608.26
AREL GROUP WINE & SPIRITS,30308,Liquor Control,133393.50
ARINC INC,21401,Technology Services,63870.50
ARINC INC,75395,Technology Services,61097.44
ARRAY INFORMATION TECHNOLOGY INC,20770,County Council,20000.00
ARRAY INFORMATION TECHNOLOGY INC,20770,County Executive,906833.76
ARRAY INFORMATION TECHNOLOGY INC,20770,Finance,1069625.25
ARRAY INFORMATION TECHNOLOGY INC,20770,General Services,30413.05
ARRAY INFORMATION TECHNOLOGY INC,20770,Non-Departmental Accounts,41535.00
ARRAY INFORMATION TECHNOLOGY INC,20770,Public Information,417249.55
ARRAY INFORMATION TECHNOLOGY INC,20770,Technology Services,224112.00
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Community Engagement Cluster,300.00
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Non-Departmental Accounts,4326808.53
ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,Recreation,17261.12
AS YOU LIKE IT LANDSCAPING,20850,Transportation,124650.00
ASAHI BEER USA INC,90503,Liquor Control,47846.40
ASAHI BEER USA INC,90503,Not Defined,240.00
ASHFORD AT WOODLAKE APARTMENTS,20904,Health and Human Services,4188.00
ASHFORD AT WOODLAKE APARTMENTS,20904,Housing and Community Affairs,25224.00
ASHMORE AT GERMANTOWN,22201,Housing and Community Affairs,73387.00
ASHTON POND COMMUNITY ASSOCIATION INC,20861,Environmental Protection,50000.00
ASIAN AMERICAN LEAD,20902,Health and Human Services,103430.59
ASIAN PACIFIC AMERICAN LEGAL RESOURCE CENTER,20006,Non-Departmental Accounts,49999.00
ASM PAVING CO INC,20833,Transportation,135145.00
ASPLUNDH TREE EXPERT COMPANY INC,19090,Transportation,53685.26
ASPLUNDH TREE EXPERT COMPANY INC,19182,Transportation,2949003.21
ASPLUNDH TREE EXPERT COMPANY INC,21113,Transportation,12551.12
ASPLUNDH TREE EXPERT COMPANY INC,60677,Transportation,698018.76
ASSOCIATED SUPPLY INDUSTRIES INC,20005,Not Defined,206501.14
AT & T CORP,30348,Non-Departmental Accounts,31846.93
AT & T CORP,60197,Non-Departmental Accounts,299275.11
AT&T,60197,Board of Elections,3459.48
AT&T,60197,Circuit Court,37492.78
AT&T,60197,Community Engagement Cluster,635.85
AT&T,60197,Correction and Rehabilitation,3628.87
AT&T,60197,County Council,11342.45
AT&T,60197,Economic Development,17655.22
AT&T,60197,Finance,671.48
AT&T,60197,General Services,5652.78
AT&T,60197,Health and Human Services,51129.10
AT&T,60197,Human Resources,11268.43
AT&T,60197,Human Rights,1179.16
AT&T,60197,Intergovernmental Relations,3832.93
AT&T,60197,Recreation,29009.31
AT&T,60197,Regional Services Centers,2998.77
AT&T,60197,Technology Services,10387.87
AT&T,60197,Transportation,11179.45
AT&T CORP,30348,Board of Elections,25.94
AT&T CORP,30348,Intergovernmental Relations,0.85
AT&T CORP,30348,Technology Services,2406.45
AT&T CORP,33416,Police,12395.00
AT&T CORP,60197,Correction and Rehabilitation,289.88
AT&T CORP,60197,County Council,7649.80
AT&T CORP,60197,Economic Development,1881.75
AT&T CORP,60197,Health and Human Services,151.70
AT&T CORP,60197,Non-Departmental Accounts,2953.79
ATLANTIC EMERGENCY SOLUTIONS INC,20109,Fire and Rescue Service,91324.78
ATLANTIC WATERPROOFING,21075,Transportation,175981.00
AUTOMOTIVE SUPPORT SERVICES INC,20905,General Services,182116.00
AUTOMOTIVE SUPPORT SERVICES INC,20905,Police,29397.00
AV IMPORTERS,60693,Liquor Control,59171.16
AV IMPORTERS,60693,Not Defined,59859.40
AVAYA INC,60197,Health and Human Services,2462.22
AVAYA INC,73134,General Services,50503.29
AVAYA INC,73134,Health and Human Services,1017.00
AVAYA INC,73134,Non-Departmental Accounts,736404.11
AVAYA INC,73134,Police,2068.00
AVAYA INC,73134,Technology Services,380894.38
AZAR CONSTRUCTION CO,20915,Housing and Community Affairs,91145.90
B-ENVIRONMENTAL INC,21703,General Services,34223.70
BAC TAX SERVICES CORPORATION,93063,Not Defined,673423.25
BACARDI USA INC,30368,Not Defined,45952.97
BACARDI USA INC,33134,Liquor Control,6139797.03
BACCHUS IMPORTERS LTD,21224,Liquor Control,1962162.86
BACCHUS IMPORTERS LTD,21224,Not Defined,86463.43
BAIR ANALYTICS,80126,Police,26808.00
BAKER & TAYLOR BOOKS,30384,Public Libraries,110411.55
BAKER & TAYLOR INC,30384,Public Libraries,502998.03
BAKER & TAYLOR INC,30384,Restricted Donations,41695.76
BAKER AND ASSOCIATES,15251,General Services,1449341.23
BALDWIN LINE CONSTRUCTION OF MARYLAND INC,21075,Police,32382.00
BALDWIN LINE CONSTRUCTION OF MARYLAND INC,21075,Transportation,4108116.10
BALLARD SPAHR LLP,20005,Debt Service,30000.00
BALLARD SPAHR LLP,20005,Economic Development,25000.00
BALLARD SPAHR LLP,20005,Health and Human Services,37497.00
BALTIMORE GAS & ELECTRIC,19101,Fire and Rescue Service,6813.44
BALTIMORE GAS & ELECTRIC,19101,Health and Human Services,2543.74
BALTIMORE GAS & ELECTRIC,19101,Liquor Control,13059.04
BALTIMORE GAS & ELECTRIC,19101,Non-Departmental Accounts,144683.72
BALTIMORE GAS & ELECTRIC,19101,Recreation,132195.40
BALTIMORE GAS & ELECTRIC,19101,Transportation,14532.70
BALTIMORE GAS & ELECTRIC,21203,Health and Human Services,300.00
BALTIMORE GAS & ELECTRIC,21203,Non-Departmental Accounts,255376.77
BALTIMORE GAS & ELECTRIC,21203,Transportation,8556.60
BALTIMORE GAS & ELECTRIC,21298,Health and Human Services,54420.89
BALTIMORE GAS & ELECTRIC,21298,Transportation,268.68
BANC OF AMERICA INSTITUTE,30384,Transportation,83391.35
BANC OF AMERICA PUBLIC CAPITAL CORP,30384,Fire and Rescue Service,426065.22
BANC OF AMERICA PUBLIC CAPITAL CORP,30384,General Services,158815.24
BANC OF AMERICA PUBLIC CAPITAL CORP,30384,Permitting Services,12255.76
BANC OF AMERICA PUBLIC CAPITAL CORP,30384,Transportation,1466690.43
BANFI PRODUCTS CORP,11545,Liquor Control,1188927.87
BANFI PRODUCTS CORP,11545,Not Defined,64153.36
BANK STREET REALTY PARTNERS LLC,20877,Non-Departmental Accounts,69525.62
BANNER GLASS INC,20850,General Services,320.00
BANNER GLASS INC,20907,Correction and Rehabilitation,1157.00
BANNER GLASS INC,20907,General Services,8627.00
BANNER GLASS INC,20907,Transportation,636.00
BANNER GLASS INC,20910,Fire and Rescue Service,65.00
BANNER GLASS INC,21263,Correction and Rehabilitation,3200.00
BANNER GLASS INC,21263,Fire and Rescue Service,200.00
BANNER GLASS INC,21263,General Services,10833.00
BANNER GLASS INC,21263,Transportation,1447.00
BAR-T INC,20878,Health and Human Services,29426.00
BARCLAYS CAPITAL INC,10286,Debt Service,111193.97
BARON FRANCOIS LTD,10001,Liquor Control,343176.30
BARON FRANCOIS LTD,10001,Not Defined,14032.02
BARUCH & PAGAN ASSOCIATES,20879,Housing and Community Affairs,749702.95
BARWOOD INC,20895,Health and Human Services,5784.36
BARWOOD INC,20895,Transportation,2602979.97
BATES TRUCKING CO INC,20710,General Services,351602.58
BATTERY PARK CITIZEN ASSN,20814,Not Defined,88905.32
BEECH STREET CAPITAL LLC,20814,Finance,80000.00
BELLEMEAD DEVELOPMNT CORP,07059,Transportation,27052.07
BENAKA INC,21042,General Services,749040.35
BENAKA INC,21042,Not Defined,-46305.00
BENONS LLC,20720,Transportation,53460.00
BEST BUDDIES INTNL INC,33131,Health and Human Services,26228.13
BETAH ASSOCIATES INC,20814,Health and Human Services,1154998.36
BETHESDA CARES INC,20814,Health and Human Services,95708.00
BETHESDA CARES INC,20814,Housing and Community Affairs,19886.06
BETHESDA CARES INC,20814,Non-Departmental Accounts,12661.39
BETHESDA FIRE DEPARTMENT,20824,Fire and Rescue Service,252288.95
BETHESDA FIRE DEPARTMENT,20824,Not Defined,5560.00
BETHESDA GREEN INC,20814,Non-Departmental Accounts,29962.27
BETHESDA HEALTH AND REHABILITATION CENTER,20814,Health and Human Services,33418.00
BETHESDA NORTH MARRIOTT,20852,Non-Departmental Accounts,244397.00
BETHESDA URBAN PARTNERSHP,20814,Community Engagement Cluster,3370186.60
BETHESDA URBAN PARTNERSHP,20814,Transportation,594447.23
BETTINGER FARRELL & DEMME,20872,Transportation,59997.00
BETTY BROWN CASEY TRUST,20877,Environmental Protection,20000.00
BETTY BROWN CASEY TRUST,20877,General Services,32500.66
BETTY BROWN CASEY TRUST,20877,Non-Departmental Accounts,35965.49
BETTY BROWN WILBY TRUST,20877,General Services,108417.27
BETTY BROWN WILBY TRUST,20877,Non-Departmental Accounts,114308.27
BEVERAGE ACQUISITION GROUP LLC,05753,Liquor Control,198067.54
BEVERAGE ACQUISITION GROUP LLC,05753,Not Defined,31959.87
BEVERAGE ALLIANCE LLC,06840,Liquor Control,70314.34
BEVERLY F ROGERS,20817,Health and Human Services,25916.00
BEVERLY ORNBERG WALLING,20874,Health and Human Services,800.00
BEVERLY ORNBERG WALLING,20877,Health and Human Services,34500.00
BHANOT ENGINEERS INC,20876,General Services,845993.00
BHANOT ENGINEERS INC,20876,Housing and Community Affairs,41862.08
BI INC,80301,Correction and Rehabilitation,72842.84
BIG BROTHERS BIG SISTERS,20706,Non-Departmental Accounts,33311.76
BIGNELL WATKINS HASSER,21401,General Services,113292.89
BILINGUAL COUNSELING,20902,Health and Human Services,36197.62
BIOHABITATS INC,21031,Environmental Protection,126571.90
BIOHABITATS INC,21211,Environmental Protection,321389.33
BIOHABITATS/CENTURY ENGINEERING JV,21031,Environmental Protection,138660.97
BLACKROCK INSTITUTIONAL,28290,Non-Departmental Accounts,46633.25
BLACKROCK INSTITUTIONAL,94105,Non-Departmental Accounts,2934.00
BLOOMBERG FINANCIAL SYS,06150,Finance,7973.50
BLOOMBERG FINANCIAL SYS,06150,Non-Departmental Accounts,23112.50
BMR INC,20879,Community Engagement Cluster,697.65
BMR INC,20879,Correction and Rehabilitation,1256.95
BMR INC,20879,Fire and Rescue Service,30.47
BMR INC,20879,General Services,57600.00
BNR MANAGEMENT INC,20886,Health and Human Services,955.00
BNR MANAGEMENT INC,20886,Housing and Community Affairs,30488.00
BOARD OF EDUCATION OF MONTGOMERY COUNTY MARYLAND,20878,Recreation,136137.60
BOAT PEOPLE SOS INC,20910,Housing and Community Affairs,19328.56
BOAT PEOPLE SOS INC,20910,Non-Departmental Accounts,13823.99
BOB PORTER COMPANY INC,21797,General Services,11891.39
BOB PORTER COMPANY INC,21797,Not Defined,69200.00
BOLAND TRANE SERVICES DBA BOLAND,20878,General Services,76426.46
BOND WATER TECHNOLOGIES INC,20877,General Services,38218.30
BOOK WHOLESALERS INC,60693,General Services,10.47
BOOK WHOLESALERS INC,60693,Public Libraries,221046.19
BOOK WHOLESALERS INC,60693,Restricted Donations,52423.93
BOORDY VINEYARDS,21082,Liquor Control,44436.15
BOORDY VINEYARDS,21082,Not Defined,2814.00
BOSTON BEER CORPORATION,02212,Liquor Control,1839021.43
BOSTON BEER CORPORATION,02212,Not Defined,191901.13
BOUND TREE MEDICAL LLC,43016,Fire and Rescue Service,27677.60
BOUND TREE MEDICAL LLC,60673,Emergency Management and Homeland Security,12560.19
BOUND TREE MEDICAL LLC,60673,Fire and Rescue Service,256875.90
BOUND TREE MEDICAL LLC,60673,General Services,14387.18
BOUND TREE MEDICAL LLC,60673,Police,1773.30
BOUND TREE MEDICAL LLC,60686,Fire and Rescue Service,8657.80
BOUTIQUE VINEYARDS LLC,21401,Liquor Control,68033.76
BOUTIQUE VINEYARDS LLC,21401,Not Defined,5996.94
BRANDEBURY TOOL CO INC,20879,Transportation,182966.88
BRECKENRIDGE AT MONTGOMERY VILLAGE APTS,20879,Housing and Community Affairs,29718.00
BRECKENRIDGE CONDOMINIUMS,20879,Health and Human Services,23501.00
BRECKENRIDGE CONDOMINIUMS,20879,Housing and Community Affairs,56448.00
BREGMAN BERBERT SCHWARTZ & GILDAY LLC,20814,CIP,453442.03
BREGMAN BERBERT SCHWARTZ & GILDAY LLC,20814,Finance,512936.00
BREGMAN BERBERT SCHWARTZ & GILDAY LLC,20814,Transportation,2942.50
BREKFORD CORP,21076,Police,514809.00
BRI THE POINT LIMITED,20901,Housing and Community Affairs,1467.00
BRI THE POINT LIMITED,20901,Non-Departmental Accounts,24695.00
BRIAN FISHER,20837,Transportation,59897.82
BRIDGEALL LIBRARIES LIMITED,G52 4,Public Libraries,11500.00
BRIDGEALL LIBRARIES LIMITED,G52 4,Restricted Donations,25000.00
BRIDGET MCGUIRE,20901,Health and Human Services,92958.00
BRIDGEWATER ASSOCIATES LP,06880,Non-Departmental Accounts,7845957.68
BRODART CO,17701,Public Libraries,8367.21
BRODART CO,17701,Restricted Donations,33833.02
BRONCO WINE COMPANY,90051,Liquor Control,118122.00
BRONCO WINE COMPANY,90051,Not Defined,13213.25
BROTMAN WINTER FRIED COMMUNICATIONS,22046,Environmental Protection,70466.08
BROWN-FORMAN BEV WORLDWID,40210,Liquor Control,4015525.98
BROWN-FORMAN BEV WORLDWID,40210,Not Defined,66942.28
BRUNSWICK WASTE MANAGEMENT,23868,Environmental Protection,7755172.10
BUCK DISTRIBUTING COMPANY INC,20774,Liquor Control,233293.74
BUCK DISTRIBUTING COMPANY INC,20774,Not Defined,38965.78
BUILT BY BEAVERS LLC,22015,Recreation,178919.76
BURTONSVILLE FUEL CO INC,20866,Fire and Rescue Service,29356.97
BURTONSVILLE FUEL CO INC,20866,Health and Human Services,17421.60
BURTONSVILLE SHOPPING,20817,Liquor Control,73820.38
BURTONSVILLE TOWNE SQUARE LLC,20817,Liquor Control,39882.32
BURTONSVILLE VOL FIRE DEP,20866,Fire and Rescue Service,213636.02
BUSH CREEK TREE SERVICE,21754,Transportation,91448.78
"BUTLER TREE SERVICE, LLC",21790,General Services,38700.00
"BUTLER TREE SERVICE, LLC",21790,Transportation,225771.57
BVS MONTROSE LLC,02298,Liquor Control,263031.53
C & J LLC,20905,Non-Departmental Accounts,26561.23
C&C CUSTOM LAWNCARE INC,21771,Transportation,50003.11
C&C MANAGEMENT GROUP LTD,20874,Transportation,100370.70
C&D CONSTRUCTION CO INC,20854,Transportation,349945.36
C-W GAITHER LLC,20854,Non-Departmental Accounts,410309.35
CABIN JOHN ASSOCIATES LP,21279,Liquor Control,180673.52
CABIN JOHN PARK VOLUNTEER,20818,Fire and Rescue Service,248634.60
CACI INC-FEDERAL,02241,Police,31519.26
CACI INC-FEDERAL,21263,Police,44697.48
CALLAS CONTRACTORS INC,21740,General Services,324168.37
